Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.274238759517782,0.261511419270312,1.11464100815312,0,0,0,2.57781401617548,0.0529913259502657,-2.39304798938831E-06,5.08800970160778E-11,0.149974130247921,-6.72819021936475E-12,0.135264552533251,0,0,0,0,0,0,package://Totes/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Totes/meshes/base_link.STL,,Storage Bin 50L-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
box2,-0.0005898247214699,-0.0280527326873534,4.19559942343994E-11,0,0,0,2.57781401617547,0.0529913259502661,-2.39304798949556E-06,5.08803787696511E-11,0.149974130247921,-6.72818933082077E-12,0.135264552533252,0,0,0,0,0,0,package://Totes/meshes/box2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Totes/meshes/box2.STL,,Storage Bin 50L-2,Origin_box2_joint,,box2_joint,fixed,0.27483,-0.80464,0.28956,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
box3,-0.0005898247214704,-0.0280527326873534,4.19560497455507E-11,0,0,0,2.57781401617547,0.052991325950265,-2.39304798927513E-06,5.08802342921523E-11,0.14997413024792,-6.72818873915956E-12,0.13526455253325,0,0,0,0,0,0,package://Totes/meshes/box3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Totes/meshes/box3.STL,,Storage Bin 50L-1,Origin_box3_joint,,box3_joint,fixed,0,0,-0.31,0,0,0,box2,0,0,0,,,,,,,,,,,,
box4,-0.000589824721471066,-0.0280527326873534,4.19562717901556E-11,0,0,0,2.57781401617548,0.0529913259502648,-2.39304798926581E-06,5.08802009906299E-11,0.14997413024792,-6.72818800806432E-12,0.13526455253325,0,0,0,0,0,0,package://Totes/meshes/box4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Totes/meshes/box4.STL,,Storage Bin 50L-4,Origin_box4_joint,,box4_joint,fixed,0,0,-0.31,0,0,0,box3,0,0,0,,,,,,,,,,,,
